# Created by Octave 3.0.1, Fri Sep 11 14:46:49 2009 PDT <jwawerla@marvin2>
# name: gg
# type: matrix
# rows: 400
# columns: 10
 16 20 24 25 29 34 44 44 44 44
 5 5 5 26 27 39 39 39 39 48
 4 8 8 36 42 43 43 48 48 48
 13 14 15 29 29 48 48 48 48 48
 10 15 15 39 39 42 46 46 46 46
 14 14 14 29 29 42 46 47 48 48
 8 15 15 34 34 42 47 50 50 50
 9 9 9 24 33 46 46 46 46 49
 13 14 14 14 26 31 34 41 41 46
 12 18 19 22 35 39 39 46 46 47
 10 10 10 27 32 39 47 48 48 48
 9 9 13 14 43 43 43 43 43 43
 6 14 14 29 33 36 36 36 36 47
 5 7 15 34 40 46 46 46 46 48
 3 6 7 23 23 40 40 48 48 48
 10 27 36 37 37 42 44 45 45 48
 8 26 27 27 27 31 31 49 49 49
 3 7 9 30 30 45 45 49 49 50
 3 8 8 35 35 44 45 45 45 45
 9 12 17 35 36 37 37 47 47 47
 13 22 22 34 35 35 35 39 39 39
 4 7 16 44 44 45 45 45 46 49
 6 9 9 30 31 31 31 49 49 49
 20 26 31 40 42 45 45 46 46 46
 12 24 26 26 34 42 42 48 48 50
 2 3 5 29 33 33 39 39 39 50
 8 25 25 32 41 45 47 47 47 47
 5 10 10 26 27 38 38 41 41 41
 9 17 18 25 25 43 45 47 47 47
 5 10 17 21 21 47 47 47 47 50
 8 8 8 22 23 30 30 47 47 47
 7 7 7 35 35 38 38 46 46 46
 5 7 7 21 25 43 43 45 47 47
 5 13 31 36 36 38 45 45 48 49
 14 14 14 19 19 29 45 45 47 47
 6 6 6 15 37 37 37 37 50 50
 13 13 13 34 34 39 39 46 46 46
 4 11 22 24 35 44 44 50 50 50
 13 16 30 30 30 48 48 50 50 50
 4 11 11 33 34 35 41 42 42 42
 5 11 12 31 31 34 42 45 45 45
 4 9 18 19 19 27 47 48 48 49
 10 17 19 21 33 39 39 48 48 49
 7 7 7 24 27 27 48 48 48 48
 3 3 19 19 20 34 34 50 50 50
