# Created by Octave 3.0.1, Sat Sep 05 11:49:52 2009 PDT <jwawerla@marvin2>
# name: maxRate
# type: matrix
# rows: 6
# columns: 10
 0.0273224043715847 0.01445404556166536 0.01087441169185038 0.006092653252222742 0.004220869856512758 0.001393123504854824 0.0007993279535677011 0.0001882368167612609 9.655272797845758e-05 1.980851242041365e-05
 0.05545023696682463 0.03582089552238806 0.02881093629094661 0.01653262581875467 0.01190721370115441 0.00411217227325263 0.002348531020145771 0.0005568417503216533 0.0002869889639698401 5.931085343070215e-05
 0.07895752895752894 0.0498500299940012 0.04200389526076607 0.02573259290901324 0.01859246812296135 0.006761625090821023 0.003876217108587986 0.0009238784153517484 0.0004776715750254537 9.877679553262734e-05
 0.09151785714285712 0.0709336250911743 0.06292726998945941 0.0431279298865412 0.03271448288143893 0.01280321720405573 0.007574749765593069 0.001838904301652646 0.0009524587014982712 0.0001973780807965632
 0.1057112638815441 0.09195252569112751 0.08644198045888681 0.0656045326957064 0.0535763553593599 0.02396002090410243 0.01460649228438745 0.003650559268286779 0.001898355026499007 0.0003947959489057809
 0.1292307692307692 0.1099800399201597 0.1016432973117799 0.08132197507493294 0.06859526212669952 0.03357572687915295 0.02106109324758842 0.005446636306498031 0.002842803297907684 0.0005919218541375817
# name: prt
# type: matrix
# rows: 6
# columns: 10
 26.6 77.30000000000001 303.7 568.5 791.1 1395.7 1784.9 2540.2 3052.5 3823.8
 32.2 97.40000000000001 287.7 706.1 845.1 1575.6 1977.7 3085.1 3488.3 4966.6
 41.8 116.7 362.1 670.5 1023.4 1606.4 1872.4 3362 3816.1 4976.900000000001
 79.60000000000001 224.2 564.1 971.9000000000001 1246.1 2012.3 2478.3 3635.2 4120 6033.900000000001
 179.1 640.9000000000001 810.9000000000001 1423.8 1899.6 2654 3070.9 3704.1 4664.3 5552.3
 165.5 250.6 1019.7 2035.6 2368.6 3292.3 3621.8 4413.400000000001 4745.2 5843.8
# name: collected
# type: matrix
# rows: 6
# columns: 10
 1 1.84 4.39 6.51 7.56 8.91 9.42 9.890000000000001 9.949999999999999 9.98
 2.34 5.28 11.17 19.94 21.97 27.04 28.13 29.56 29.7 29.95
 4.09 8.31 19.41 30.12 37.62 44.67 46.02 49.3 49.59 49.88
 8.199999999999999 19.45 41.79 63.48 73.48 89.78 94.52 98.63 99.17 99.88
 19.99 63.53 78.73999999999999 126.21 155.35 183.39 190.92 196.05 198.69 199.59
 22.68 33.06 113.81 206.2 231.07 278.42 286.89 296.37 297.77 299.42
